Project Name (Eng),Project Name (Chi),Project Address,District,Project Type,Owner / Developer Name,BEAM Pro,Tool,Current Status,Year,Validity,Green Build Cert Label No,Online exhibition,Outstanding Performance in ES Cat
Hotel Development at Inland Lot No. 9020,"內地段第9020號酒店項目 (香港北角北角邨里及書局街, 內地段第9020號)","1 North Point Estate Lane, Hong Kong",HK - Eastern,Hotel,Long Kinetic Limited,"HO KA PO, Nicole",NB V1.2,Final Bronze,2019,Expired,,,
Hotel Development at Nos. 1-3 Granville Circuit,,"Nos. 1-3 Granville Circuit, Tsim Sha Tsui",KLN - Yau Tsim Mong,Hotel,Amtec Investment Limited,"Ms. Chan Ka Yee, Zoe",NB V1.2,Registered,2019,Valid,,,
"Hotel Development at Nos.17 & 19 Wing Hing Street, Causeway Bay, Hong Kong",香港 銅鑼灣 永興街17-19號,"Nos.17 & 19 Wing Hing Street, Causeway Bay, Hong Kong",HK - Wan Chai,Hotel,Perfect Allied Limited,N/A,NB V1.2,Registered,2013,Valid,,,
"Hotel Development at T.C.T.L. 38, Tung Chung",東涌市地段第38號酒店發展項目,"Tung Chung Town Lot 38, Tung Chung, Lantau Island, Hong Kong",NT - Islands,Hotel,Brand Rise Limited,"CHAN Chi Keung, Peter",NB V1.2,Provisional Silver,2017,Expired,,,
Hotel Development of Chinaresources Building,華潤香港總部酒店項目,"1, Harbour Drive, Wanchai, Hong Kong",HK - Wan Chai,Hotel,CHINA RESOURCES PROPERTY LIMITED,Ma Yee Ling,NB V1.2,Final Bronze,2020,Valid,,,
Hotel Kapok Shenzhen Bay (EU),深圳湾木棉花酒店 (EU),"3001 Binhai Avenue, Nanashan Distrist, Shenzhen City, Guangdong Province, P. R. China",PRC,Commercial,华润物业管理有限公司,,EB V2.1,Excellent,2024,Valid,,,
Hotel Kapok Shenzhen Bay (MAN),深圳湾木棉花酒店 (MAN),"3001 Binhai Avenue, Nanashan Distrist, Shenzhen City, Guangdong Province, P. R. China",PRC,Commercial,华润隆地有限公司,,EB V2.1 Sel. MAN,Excellent,2024,Valid,,,
Hotel Kapok Xiaojing Bay (EU),小径湾木棉花酒店 (EU),"China Resources University, China Resources Xiaojing Bay In DaYa wan Zone, Huizhou City, Guangdong Province, P.R. China",PRC,Commercial,华润物业管理有限公司,,EB V2.1,Excellent,2024,Valid,,,
Hotel Kapok Xiaojing Bay (MAN),小径湾木棉花酒店 (MAN),"China Resources University, China Resources Xiaojing Bay In DaYa wan Zone, Huizhou City, Guangdong Province, P.R. China",PRC,Commercial,华润隆地有限公司,,EB V2.1 Sel. MAN,Excellent,2024,Valid,,,
Hotel Kapok Xiong'an (EU),雄安木棉花酒店 (EU),"No.1 Road, Baiyangdian Hot Spring City, Xiongxian County, Baoding City, Hebei Province",PRC,Commercial,华润物业管理有限公司,,EB V2.1,Excellent,2024,Valid,,,
Hotel Kapok Xiong'an (MAN),雄安木棉花酒店 (MAN),"No.1 Road, Baiyangdian Hot Spring City, Xiongxian County, Baoding City, Hebei Province",PRC,Commercial,华润隆地有限公司,,EB V2.1 Sel. MAN,Excellent,2024,Valid,,,
Hotel Purple,香港紫亭,"19 Wing Hing Street, Causeway Bay, Hong Kong",HK - Wan Chai,Hotel,Champion Rise Development Limited,"Ir WANG Yuan, Andy",NB V1.2,Final Bronze,2019,Expired,,,
"House Redevelopment at 12 Wistaria Road, Yau Yat Chuen, Kowloon",,"12 Wistaria Road, Yau Yat Chuen, Kowloon",KLN - Sham Shui Po,Residential,Richest Logistics Limited,N/A,NB V1.1,Registered,2011,Valid,,,
"House Redevelopment at No. 293 Castle Peak Road, Ting Kau, Tsuen Wan",,"No. 293 Castle Peak Road, Ting Kau, Tsuen Wan",NT - Tsuen Wan,Residential,Columbus Properties Ltd,,NB V2.0,Registered,2024,Valid,,,
HQ,N/A,"450-454 Portland Street, Prince Edward, Kowloon",KLN - Sham Shui Po,Commercial,Savills Property Management Limited,Lee Man Kwong,EB V2.0 Sel. MAN,Excellent,2023,Valid,,,
HSMC Jockey Club Residential Colleges,恒生管理學院賽馬會住宿書院,"Hang Shin Link, Siu Lek Yuen, Shatin, Hong Kong",NT - Sha Tin,Others,Hang Seng Management College,"KWOK May Han, Grace",NB V1.2,Final Platinum,2016,Expired,,https://greenbuilding.hkgbc.org.hk/projects/view/21,
Humansa,Humansa,"Unit 01&06-08 on Level 18 of K11 Atelier, 18 Salisbury Road, Tsim Sha Tsui, Hong Kong",KLN - Yau Tsim Mong,Commercial,Humansa VD Limited,"Ir Rr MO Cheung Ying, Eagle",BI V2.0 Pilot,Platinum,2023,Valid,,,
Hung Shui Kiu Station of Tuen Ma Line,屯馬綫 洪水橋站,Located on the Tuen Ma Line between the existing Tin Shui Wai and Siu Hong stations,NT - Yuen Long,Others,MTR Corporation Limited,Leong Lai Shing,NB V2.0,Provisional Gold,2024,Valid,,,
Hung Shui Kiu/ Ha Tsuen New Development Area Community and Liaison Centre,,"Kiu Cheong Road, Tin Shui Wai, Yuen Long, New Territories",NT - Yuen Long,Government Institutional and Community,"West Development Office, Civil Engineering Development Department","KWAN Shiu Yin, Louis",NB V2.0,Registered,2024,Valid,,,
"Hung Shui Kiu/ Ha Tsuen New Development Dedicated Rehousing Estate at Hung Yuen Road, Hung Shui Kiu (also known as Hung Shui Kiu Town Lot No. 2)",洪水橋╱厦村新發展區專用安置屋邨  洪水橋 洪元路 (洪水橋市地段第2號),"6 Hung Yuen Road, Hung Shui Kiu, Yuen Long, New Territories",NT - Yuen Long,Commercial,Hong Kong Housing Society,Kaixin Xu,NB V1.2,Provisional Gold,2022,Valid,,,
Hutchison Property Group Limited Portfolio,和記地產集團有限公司之物業組合,"Hutchison Logistics Centre, Terminal 4, 18 Container Port Road South, Kwai Chung",NT - Kwai Tsing,Industrial,Hutchison Property Management Limited,Leung Hip Shing,EB V2.0 Sel. MAN,Excellent,2023,Valid,,,
Hyde Park,海珀,"205 Hai Tan Street, Sham Shui Po, Kowloon, Hong Kong",KLN - Sham Shui Po,Residential,Assets Island Limited,"MAK Kei Choi, Henry",NB V1.2,Final Gold,2021,Valid,PAG0065/19,,
Hysan Office Headquarters at Lee Garden One,,"50/F, Lee Garden One, 33 Hysan Avenue, Causeway Bay, Hong Kong",HK - Wan Chai,Commercial,Hysan Development Projects Limited,Wong Man Sze,BI V1.0,Platinum,2022,Valid,,,
Hysan Place,希慎廣場,500 Hennessy Road,HK - Wan Chai,Commercial,Earn Extra Investments Limited,"MAK Kei Choi, Henry",EB V2.0 Comp. A,Registered,2023,Valid,,,
Hysan Place,希慎廣場,"500 Hennessy Road, Causeway Bay, HK",HK - Wan Chai,Commercial,Hysan Development Company Limited,TSANG Siu Chung,NB V1.1,Final Platinum,2013,Expired,,https://greenbuilding.hkgbc.org.hk/projects/view/36,
Hysan Place,希慎廣場,"500 Hennessy Road, Causeway Bay, Hong Kong",HK - Wan Chai,Commercial,Hysan Development Co. Ltd.,HUNG Chung Yin,EB V1.2,Final Platinum,2018,Valid,,https://greenbuilding.hkgbc.org.hk/projects/view/184,
I·PARK 1,[源·島],"Artificial island adjacent to southwest side of Shek Kwu Chau, New Territories",NT - Islands,Industrial,"Environmental Protection Department, HKSAR Government","MAK Kei Choi, CHAN Chun Wai Curtis & CHOI Lok Tin",NB V1.2,Provisional Platinum,2024,Valid,,,
iCity,,"111 Ta Chuen Ping Street, Kwai Chung, New Territories, Hong Kong",NT - Kwai Tsing,Industrial,Champion Wish Limited,Henry Mak,NB V1.2,Final Unclassified,2024,Valid,,,
iclub AMTD Sheung Wan Hotel,富薈尚乘上環酒店,"5 Bonham Strand West, Sheung Wan, Hong Kong",HK - Central & Western,Hotel,Regal Hotels International Limited,,EB V2.1 Sel. MAN,Registered,2024,Valid,,,
iclub Fortress Hill Hotel,富薈炮台山酒店,"18 Merlin Street, North Point, Hong Kong",HK - Eastern,Hotel,Regal Hotels International Limited,,EB V2.1 Sel. MAN,Registered,2024,Valid,,,
iclub Mong Kok Hotel,富薈旺角酒店,"2 Anchor Street, Mong Kok, Hong Kong",KLN - Yau Tsim Mong,Hotel,Regal Hotels International Limited,,EB V2.1 Sel. MAN,Registered,2024,Valid,,,
iclub Mong Kok Hotel,富薈旺角酒店,"2 Anchor Street, Tai Kok Tsui, Kowloon, Hong Kong",KLN - Yau Tsim Mong,Hotel,Ultimate Lead Limited,SZETO Chun Tak,NB V1.2,Final Gold,2021,Valid,,,
iclub Sheung Wan Hotel,富薈上環酒店,"138 Bonham Strand, Sheung Wan, Hong Kong",HK - Central & Western,Hotel,Regal Hotels International Limited,,EB V2.1 Sel. MAN,Registered,2024,Valid,,,
iclub To Kwa Wan Hotel,富薈土瓜灣酒店,"8 Ha Heung Road, To Kwa Wan, Hong Kong",KLN - Kowloon City,Hotel,Regal Hotels International Limited,,EB V2.1 Sel. MAN,Registered,2024,Valid,,,
iclub Wan Chai Hotel,富薈灣仔酒店,"211 Johnston Road, Wan Chai, Hong Kon",HK - Wan Chai,Hotel,Regal Hotels International Limited,,EB V2.1 Sel. MAN,Registered,2024,Valid,,,
ifc mall,國際金融中心商場,"8 Finance Street, Central, Hong Kong",HK - Central & Western,Commercial,"International Finance Centre Management Co., Ltd","Ms. WONG Man Sze, Wency",EB V2.0 Comp. A,Final Platinum,2023,Valid,,,
IL PICCO,意峰,28 Discovery Valley Road,NT - Islands,Residential,Hong Kong Resort Company Limited,"CHAN Chi Keung, Peter",NB V1.2,Final Unclassified,2022,Valid,FAU0011/22; PAU0048/19,,
"IL7912, No. 24-38 Mount Butler Drive, Jardine's Lookout, Hong Kong",,"24-38 Mount Butler Drive, Jardine’s Lookout, Hong Kong",HK - Wan Chai,Residential,Glory Mount Developments Limited,"Ms. WONG Man Sze, Wency",NB V2.0,Registered,2023,Valid,,,
Immigration Headquarters in Tseung Kwan O,將軍澳入境事務處總部,"61 Po Yap Road, Tseung Kwan O, New Territories",NT - Sai Kung,Government Institutional and Community,The Government of Hong Kong Special Administrative Region Immigration Department/Architectural Services Department,Mrs Hei Nam WONG,NB V1.2,Final Platinum,2025,Valid,,,
Imperial Cullinan,瓏璽,"10 Hoi Fai Road, Tai Kok Tsui",KLN - Yau Tsim Mong,Residential,,Mr Au Tat Kay,EB V2.0 Sel. MAN,Excellent,2021,Valid,,,
Imperial Kennedy,,68 Belcher’s Street,HK - Central & Western,Residential,On Best Capital Investment Limited,TANG Ming Yu,NB V1.1,Final Bronze,2018,Expired,,,
IN ONE,瑜一,Ho Man Tin Station,KLN - Kowloon City,Residential,Grace Castle Corporation Limited,HO Wing Hung,NB V1.2,Provisional Platinum,2021,Valid,PAP0014/21,,
Indoor Swimming Pool for Christian Alliance International School,宣道國際學校(室內游泳池),"33 King Lam Street, Lai Chi Kok, Kowloon, Hong Kong",KLN - Sham Shui Po,Government Institutional and Community,Christian Alliance International School Limited,Mr. Henry K.C. Mak,NB V1.2,Final Unclassified,2023,Valid,,,
"Industrial Development Data Centre at Ma Kok Street, Tsuen Wan, New Territories, T.W.T.L. 428",,"1 Ma Kok Street, Tsuen Wan, New Territories, T.W.T.L. 428 Hong Kong",NT - Tsuen Wan,Industrial,Capital Way (H.K) Limited,"KWOK May Han, Grace",NB V1.2,Final Unclassified,2023,Valid,,,
Industrial Plant Development at Yuen Long For Vogue Laundry Service Limited Relocation Project,雅潔洗衣有限公司元朗廠房發展項目,"Nos. 95-99 Fuk Hi Street, Yuen Long Industrial Estate, Yuen Long, New Territories, Hong Kong",NT - Yuen Long,Industrial,Vogue Laundry Service Limited,"Chan Ka Yee, Zoe",NB V1.1,Final Gold,2018,Expired,,https://greenbuilding.hkgbc.org.hk/projects/view/131,
INDUSTRIAL REDEVELOPMENT,,"NOS. 20-24 KWAI WING ROAD, KWAI CHUNG, N.T.",NT - Kwai Tsing,Industrial,CORE POST COMPANY LIMITED,,NB V2.0,Registered,2020,Valid,,,
"Industrial Redevelopment at No. 33 Hung To Road, Kwun Tong, Kowloon, Hong Kong",,"NO. 33 HUNG TO ROAD, KWUN TONG, KOWLOON, HONG KONG",KLN - Kwun Tong,Industrial,MODERN PROMISE LIMITED,Antony LUK Tsz Ho,NB V2.0,Pre-requisites_Achieved,2022,Valid,,,
"Industrial Redevelopment at Nos. 550-556 Castle Peak Road, Cheung Sha Wan, Kowloon",,"Nos. 550-556 Castle Peak Road, Cheung Sha Wan, Kowloon, Hong Kong",KLN - Sham Shui Po,Industrial,Prosper Way Limited,LUK Tsz Ho,NB V1.2,Provisional Unclassified,2023,Valid,,,
Infinitus Plaza,無限極廣場,"199 Des Voeux Road Central, Sheung Wan, Hong Kong",HK - Central & Western,Commercial,H Properties,"Ir Tam Yuen Kwong, Nelson",EB V2.0 Comp. A,Registered,2023,Valid,,,
Infotech Centre,訊科中心,"21 Hung To Road, Kwun Tong",KLN - Kwun Tong,Industrial,,Mr Au Tat Kay,EB V2.0 Sel. MAN,Good,2020,Valid,,,
Inland Revenue Centre,税務中心,"Inland Revenue Centre, 5 Concorde Road, Kai Tak, Kowloon, Hong Kong",KLN - Kwun Tong,Government Institutional and Community,Architectual Services Department,DU Liping,NB V1.2,Final Gold,2023,Valid,,https://greenbuilding.hkgbc.org.hk/projects/view/223,
InnoCell Hong Kong Science Park,香港科學園 創新斗室,"1 Chong San Road, Pak Shek Kok, Tai Po, N.T.",NT - Tai Po,Residential,Hong Kong Science & Technology Parks Corporation,"Ms. Kwok May Han, Grace",NB V1.2,Final Platinum,2021,Valid,,https://greenbuilding.hkgbc.org.hk/projects/view/229,
"Innovation and Sustainability Building, The Chinese University of Hong Kong",,"Station Road, The Chinese University of Hong Kong, Sha Tin, N.T., Hong Kong SAR",NT - North,Government Institutional and Community,The Chinese University of Hong Kong,XU Kaixin,NB V2.0,Registered,2023,Valid,,,
In-situ Reprovisioning of Sha Tin Water Treatment Works – South Works – Design and Construction,沙田濾水廠原地重置工程 - 南廠 - 設計及建造,"Sha Tin Water Treatment Works, 12 Keng Hau Road, Sha Tin, New Territories, Hong Kong",NT - Sha Tin,Government Institutional and Community,"Water Supplies Department, the Government of the HKSAR",Ms Ma Yee Ling,NB V1.2,Registered,2018,Valid,,,
Intermodal Transfer Terminal,,"SkyPier, Hong Kong International Airport, Lantau, Hong Kong",NT - Islands,Others,Airport Authority Hong Kong,HO Wing Hung,NB V2.0,Registered,2014,Valid,,,
International Commerce Centre (Excluding the Hotel Portion),環球貿易廣場 (酒店部份除外),"1 Austin Road West, Kowloon, Hong Kong",KLN - Yau Tsim Mong,Commercial,Sun Hung Kai Properties Limited,"KWOK May Han, Grace",EB V2.0 Comp. A,Final Platinum,2017,Expired,,,
International Commerce Centre (Excluding the Hotel Portion),環球貿易廣場 (酒店部分除外),"1 Austin Road West, Kowloon, Hong Kong",KLN - Yau Tsim Mong,Commercial,City Lion Investment Limited,"KWOK May Han, Grace",EB V2.0 Comp. A,Final Platinum,2024,Valid,,,
International Culinary Institute,國際廚藝學院,"International Culinary Institute, 143 Pokfulam Road, Hong Kong",HK - Southern,Government Institutional and Community,Vocational Training Council,Yeung King To,NB V1.1,Final Gold,2020,Valid,,,
International Trade Centre,達貿中心,"11-19 Sha Tsui Road, Tsuen Wan",NT - Tsuen Wan,Industrial,,Mr Au Tat Kay,EB V2.0 Sel. MAN,Good,2020,Valid,,,
Interocean Court,山頂道26號,"26 Peak Road, The Peak",HK - Central & Western,Residential,Nan Fung Property Management,TANG Siu Tung,EB V2.0 Sel. MAN,Good,2024,Valid,,,
Islamic Primary School,伊斯蘭學校,"2 Oi Tak Lane, Yau Oi Estate, Tuen Mun, New Territories",NT - Tuen Mun,Aided,Islamic Primary School,CHAN Tsz Ying,ES V1.0,Green,2023,Valid,,,"SLL, SCE"
Island East Transfer Station Administration Building,港島東廢物轉運站行政大樓,"Island East Transfer Station at Sun Yip Street, Chai Wan, Hong Kong",HK - Eastern,Government Institutional and Community,China Harbour Engineering Company Limited,"CHAN Chi Keung, Peter",NB V2.0,Registered,2024,Valid,,,
Island Garden,香島,"33 Chai Wan Road, Shau Kei Wan",HK - Eastern,Residential,N/A,TANG Siu Tung,EB V2.0 Sel. MAN,Good,2021,Valid,,,
Island Garden,香島,"No. 33 Chai Wan Road, Hong Kong",HK - Eastern,Residential,Timse Enterprises Limited,Conn YUEN,NB V1.1,Final Gold,2020,Valid,,,
Island Garden (2024),香島,"33 Chai Wan Road, Shau Kei Wan",HK - Eastern,Residential,Nan Fung Property Management,TANG Siu Tung,EB V2.1,Registered,2024,Valid,,,
Island Pacific Hotel,港島太平洋酒店,"152 Connaugh Road West, Hong Kong",HK - Central & Western,Hotel,Island Pacific Hotel Limited,CHOI Lok Tin,EB V2.0 Sel. SA,Registered,2018,Valid,,,
Island Residence,,"No. 163 Shau Kei Wan Road, Hong Kong",HK - Eastern,Mixed Use,"Active Talent Holdings Limited, Talent Ace Limited","CHIU Ka Fai, Calvin",NB V1.2,Final Silver,2019,Expired,,https://greenbuilding.hkgbc.org.hk/projects/view/231,
Island Resort Mall,藍灣廣場,"Island Resort Mall, 28 Siu Sai Road, Chai Wan, Hong Kong",HK - Eastern,Commercial,SILVER LINK INVESTMENT LIMITED,Ir Nelson Tam Yuen Kwong,EB V2.0 Comp. A,Final Platinum,2024,Valid,,,
Island South Property Management Limited – Bel-Air,南盈物業管理有限公司 ─ 貝沙灣,"48 Bel-Air Avenue, 58 and 68 Bel-Air Peak Avenue, Pok Fu Lam, Hong Kong",HK - Southern,Residential,Bel-Air Owner's Committee,"KWOK May Hang, Grace",EB V2.0 Sel. MAN,Excellent,2023,Valid,,,
Island South Property Management Limited Bel-Air,南盈物業代理有限公司-貝沙灣,"28 Bel-Air Avenue, 38 Bel-Air Avenue, No. 1 – No. 18 Bel-Air Rise, 48 Bel-Air Avenue, 58 Bel-Air Peak Avenue, 68 Bel-Air Peak Avenue, No. 1 – No. 33 Bel-Air Peak Rise and 8 Bel-Air Peak Avenue",HK - Southern,Residential,Bel-Air Owners' Committee,N/A,EB V2.0 Sel. MAN,Excellent,,Expired,,https://greenbuilding.hkgbc.org.hk/projects/view/132,
I-Tech Tower 2,佳明滙訊二期,"56 Ta Chuen Ping Street, Kwai Chung, Hong Kong",NT - Kwai Tsing,Industrial,Winning Tech Limited,JIANG Wei,NB V1.2,Final Bronze,2017,Expired,,,
iTech Tower 3.1,佳明滙訊數據中心 3.1,"No. 3 On Kui Street, Fanling, New Territories, Hong Kong",NT - North,Industrial,Regal Development Limited,JIANG Wei,NB V1.2,Provisional Gold,2024,Valid,,,
J LOFT,喜 • 揚,"No. 93 Apliu Street, Kowloon, Hong Kong",KLN - Sham Shui Po,Mixed Use,Ascend Speed Limited,"KWOK May Han, Grace",NB V1.2,Provisional Bronze,2023,Valid,PAB0044/24,,
Jade Grove,琨崙,"Tsing Fat Lane, Area 58, Siu Lam, Tuen Mun, N.T., TMTL 449, Hong Kong",NT - Tuen Mun,Residential,Chinachem Group,"LAM Siu Kei, Kenneth",NB V1.1,Final Platinum,2015,Expired,,https://greenbuilding.hkgbc.org.hk/projects/view/57,
Jardine House,怡和大廈,"1 Connaught Place, Central, Hong Kong",HK - Central & Western,Commercial,Hongkong Land Limited,"Ms KWOK May Han, Grace",EB V2.0 Comp. A,Final Platinum,2019,Expired,,,
Jardine House,怡和大廈,"1 Connaught Place, Hong Kong",HK - Central & Western,Commercial,Hongkong Land Limited,"Ms May Han, Grace KWOK",EB V2.0 Comp. A,Final Platinum,2024,Valid,,,
Jardine House BaseHall 2 & 3,,"1 Connaught Place, Central",HK - Central & Western,Food Space,Hongkong Land Limited,MAK Kei Choi,BI V2.0,Registered,2023,Valid,,,
Jessville,譚雅士大宅,"128 Pokfulam Road, Hong Kong",HK - Southern,Residential,Samsbury Investments Limited,Lo Lam,NB V1.2,Final Unclassified,2021,Valid,FAU0012/22,,
Jockey Club - The Conservancy Association Urban Forestry Green Hub,賽馬會長春社滿綠林廊,"No. 26 Yen Chow Street West, Sham Shui Po, Kowloon",KLN - Sham Shui Po,Government Institutional and Community,The Conservancy Association,Henry K.C. Mak,NB V1.2,Final Platinum,2024,Valid,,,
Jockey Club ‘Craft Your Life Together’ Co-living Community Project (JCCCP),賽馬會「拍住上」共居社區計劃,"8 Tai Lok Street, Shau Kei Wan, Hong Kong",HK - Eastern,Residential,"The Society of Rehabilitation and Crime Prevention, Hong Kong","KWOK May Han, Grace",NB V1.2,Provisional Gold,2025,Valid,,,
Jockey Club Campus of Creativity,賽馬會創意校園,"30 Renfrew Road, Kowloon Tong, Kowloon",KLN - Kowloon City,Government Institutional and Community,Hong Kong Baptist University,"KWOK May Han, Grace",NB V1.2,Provisional Gold,2024,Valid,,,
Jockey Club Environmental Building,賽馬會環保樓,"77 Tat Chee Avenue, Kowloon Tong, Hong Kong",KLN - Sham Shui Po,Others,Business Environment Council Limited,LEUNG Chi Fung,EB V1.2,Final Platinum,2017,Expired,,https://greenbuilding.hkgbc.org.hk/projects/view/19,
Jockey Club Environmental Building,賽馬會環保樓,"77 Tat Chee Avenue, Kowloon Tong, Hong Kong",KLN - Sham Shui Po,Others,Business Environment Council Limited,LEUNG Chi Fung,EB V2.0 Comp. A,Final Platinum,2023,Valid,,,
Jockey Club Global Graduate Tower,賽馬會集賢樓,"The Hong Kong University of Science and Technology, Clear Water Bay, Sai Kung, Hong Kong",NT - Sai Kung,Government Institutional and Community,HKUST,"KWOK May Han, Grace",NB V1.2,Final Platinum,2021,Valid,,,
Jockey Club Home for Hospice,,"No.18,A Kung Kok Shan Road, Shatin, N.T., Hong Kong",NT - Sha Tin,Government Institutional and Community,The Society for the Promotion of Hospice Care,N/A,NB V1.1,Provisional Unclassified,2014,Expired,,,
Jockey Club i-Village,賽馬會創新學生村,"The Hong Kong University of Science and Technology, No. 1 University Road, Clear Water Bay, Sai Kung, Hong Kong",NT - Sai Kung,Residential,The Hong Kong University of Science and Technology,Ms Wency Wong,NB V1.2,Provisional Platinum,2021,Valid,,,
"Jockey Club Nature Conservation Centre at Kadoorie Farm and Botanic Garden, Tai Po, New Territories",新界大埔嘉道理農場暨植物園賽馬會自然保育中心,"Lam Kam Road, Tai Po, New Territories, Hong Kong",NT - Tai Po,Others,Kadoorie Farm and Botanic Garden Corporation,Yim Kam Wai,NB V1.2,Provisional Gold,2023,Valid,,,
Jockey Club One Health Tower,賽馬會健康一體化大樓,"Jockey Club One Health Tower, 83 Tat Chee Avenue, Kowloon Tong, Kowloon",KLN - Kowloon City,Government Institutional and Community,,"Ms. Kwok May Han, Grace",NB V1.2,Provisional Gold,2020,Valid,,,
Jockey Club Postgraduate Halls 2 & 3  The Chinese University of Hong Kong,香港中文大學  賽馬會研究生宿舍 (二座及三座),"The Chinese University of Hong Kong,  Shatin, NT, Hong Kong",NT - Sha Tin,Government Institutional and Community,The Chinese University of Hong Kong,Lo Lam,NB V1.2,Final Platinum,2020,Valid,,https://greenbuilding.hkgbc.org.hk/projects/view/72,
"Joint-User Complex at Site G2, Anderson Road Quarry",,"Anderson Road Quarry Site G2, Kowloon",NT - Sai Kung,Government Institutional and Community,Architectural Services Department,Hilary Szeto,NB V2.0,Registered,2024,Valid,,,
"Joint-user Complex at Texaco Road, Tsuen Wan",荃灣德士古道聯用綜合大樓,"At Junction of Texaco Road and Wing Shun Street, Tsuen Wan",NT - Tsuen Wan,Government Institutional and Community,Home Affairs Department,"MAK Kei Choi, Henry & CHOI Lok Tin",NB V2.0,Provisional Platinum,2024,Valid,,,
"Joint-user Complex with Market in Area 67, Tseung Kwan O",將軍澳第67區的聯用綜合大樓(附設街市),"Tong Yin Street, Tseung Kwan O",NT - Sai Kung,Government Institutional and Community,"Architectural Services Department, HKSAR",Chow Kwan Nga Christy,NB V2.0,Registered,2024,Valid,,,
Jones Hive,雋琚,"No. 8 Jones Street, Hong Kong",HK - Wan Chai,Residential,Golden Sharp Limited,"LAM Siu Kei, Kenneth",NB V1.1,Provisional Silver,2015,Expired,,,
Ju Ching Chu Secondary School (Tuen Mun),裘錦秋中學（屯門）,"28 Yeung Tsing Road, Tuen Mun, New Territories",NT - Tuen Mun,Aided,Ju Ching Chu Secondary School (Tuen Mun),CHAN Tsz Ying,ES V1.0,Green,2023,Valid,,,SCE
Jubilee Square,銀禧薈,"Nos 2-18 Lok King Street, Shatin, New Territories,",NT - Sha Tin,Commercial,ARA ASSET MANAGEMENT (FORTUNE) LIMITED,POON Ka Man,EB V2.0 Sel. MAN,Excellent,2022,Valid,,,
Justice Place - Main Wing and East Wing,律政中心 - 中座及東座,"18 Lower Albert Road, Central, Hong Kong",HK - Central & Western,Government Institutional and Community,"Department of Justice, HKSAR Government","KWOK May Han, Grace",NB V1.2,Final Gold,2018,Expired,,,
Justice Place – West Wing,律政中心 – 西座,"18 Lower Albert Road, Central, Hong Kong",HK - Central & Western,Government Institutional and Community,"Architectural Services Department, HKSAR Government","CHAN Chi Keung, Peter",NB V1.2,Final Platinum,2021,Valid,,,
K Point,錦薈坊,"1 Tuen Lung Street, Tuen Mun",NT - Tuen Mun,Commercial,,Mr Au Tat Kay,EB V2.0 Sel. MAN,Good,2020,Valid,,,
K.City,嘉匯,"7 Muk Ning Street, Kai Tak, Kowloon",KLN - Kowloon City,Residential,Royal Mark Investments Limited,JIANG Wei,NB V1.2,Final Unclassified,2019,Expired,FAU0007/19; PAU0009/16,,
"K.I.L.11285, Wing Kwong Street/ Sung On Street, To Kwa Wan, Kowloon (URA KC-014)",,"Wing Kwong Street / Sung On Street, To Kwa Wan, Kowloon – K.I.L.11285",KLN - Kowloon City,Mixed Use,Fortune Hope Limited,LIN Yu Yvonne,NB V2.0,Registered,2023,Valid,,,
K.SUMMIT,嘉峯匯,"9 Muk Tai Street, Kai Tak",KLN - Kwun Tong,Residential,Century Basis Limited,Kaixin Xu,NB V1.2,Final Gold,2022,Valid,FAG0019/22; PAG0059/19,https://greenbuilding.hkgbc.org.hk/projects/view/1323,
K11 Art Mall,K11購物藝術館,"18 Hanoi Road, Tsim Sha Tsui",KLN - Yau Tsim Mong,Commercial,K11 Concepts Limited,CHOI Lok Tin,EB V2.0 Sel. MAN,Registered,2018,Valid,,,
K11 Art Mall,K11購物藝術館,"18 Hanoi Road, Tsim Sha Tsui",KLN - Yau Tsim Mong,Commercial,New World Development Company Limited,Gladys SO,EB V2.0 Sel. MAN,Registered,2020,Valid,,,
K11 Art Mall,K11購物藝術館,"18 Hanoi Road, Tsim Sha Tsui, Kowloon, Hong Kong",KLN - Yau Tsim Mong,Commercial,K11 Concepts Limited,CHOI Lok Tin,EB V2.0 Sel. WU,Excellent,2022,Valid,,,
K11 Art Mall,K11購物藝術館,"18 Hanoi Road, Tsim Sha Tsui, Kowloon, Hong Kong",KLN - Yau Tsim Mong,Commercial,K11 Concepts Limited,SZETO Chun Tak,EB V2.0 Sel. SA,Excellent,2020,Valid,,https://greenbuilding.hkgbc.org.hk/projects/view/250,
K11 ARTUS,,"K11 ARTUS, Victoria Dockside, 18 Salisbury Road, Tsim Sha Tsui, KLN",KLN - Yau Tsim Mong,Hotel,New World Development Company Limited,Gladys SO,EB V2.0 Sel. MAN,Registered,2020,Valid,,,
K11 ARTUS,"香港瑰麗酒店, 香港瑰麗府邸及K11 ATELIER辦公大樓 - 九龍地段9844","18 Salisbury Road, Kowloon, Hong Kong",KLN - Yau Tsim Mong,Commercial,Hong Kong Island Development Limited c/o NW Project Management Limited,Hilary Sze-To,NB V1.1,Final Platinum,2021,Valid,,,
K11 ATELIER 11 SKIES,N/A,"6 Sky City Road East, Hong Kong International Airport",NT - Islands,Commercial,Roxy Limited,HO Wing Hung,NB V1.2,Final Platinum,2023,Valid,,https://greenbuilding.hkgbc.org.hk/projects/view/1347,
